Author,Paper Count
Tushin Mallick,1
Ramana Kompella,1
Ashish Kundu,1
Cristina Nita-Rotaru,1
Ahmed M. Elmisery,1
Mirela Sertovic,1
Andrew Zayin,1
Paul Watson,1
Elif Dicle Demir,1
Buse Bilgin,1
Mehmet Cengiz Onbasli,1
Denis Berger,1
Anatoly Koyfman,1
Micha Moffie,1
Enrico Sorbera,1
Ahmed Farouk,1
Federica Zanetti,1
Giacomo Brandi,1
Alessandro Tomasi,1
Roberto Doriguzzi-Corin,1
Silvio Ranise,1
Jinyi Qiu,1
Aydin Aysu,1
I. Cherkaoui,1
S. Belabssir,1
J. Horgan,1
I. Dey,1
Léo Ducas,1
Lynn Engelberts,1
Johanna Loyer,1
Utkarsh Azad,1
Bikash K. Behera,1
Houbing Song,1
Gurcan Comert,1
Asif Alif,1
Jesse Laeuchli,1
Shreya Banerjee,1
Somanath Tripathy,1
Prasanta K. Panigrahi,1
Ellie Thieu,1
Jakub Sowa,1
Bach Hoang,1
Advaith Yeluru,1
Steven Qie,1
Anita Nikolich,1
Ravishankar Iyer,1
Phuong Cao,1
Tatsuru Kikuchi,1
Basel Halak,1
Cristian Sebastian Csete,1
Edward Joyce,1
Jack Papaioannou,1
Alexandre Pires,1
Jin Soma,1
Harshita Meena,1
Eduard Hirsch,1
Michael Murphy,1
Gui-Lu Long,1
Alexandros Stavdas,1
Marco Russo,1
Bartolomeo Montrucchio,1
Marco Menchetti,1
Davide Bacco,1
Silvia Marigonda,1
Francesco Stocco,1
Guglielmo Morgari,1
Antonio Manzalini,1
Muxi Zheng,1
Jinfeng Zeng,1
Wentao Yang,1
Pei-Jie Chang,1
Bao Yan,1
Haoran Zhang,1
Min Wang,1
Shijie Wei,1
Betul Gokkaya,1
Somnath Kumar,1
André Xuereb,1
Janampalli Pavanija,1
 Akash,1
Shivam Gupta,1
Sachin B. Patkar,1
Alessio Caminata,1
Irene Villa,1
Johanna Barzen,1
Frank Leymann,1
Marcel Kempf,1
Nikolas Gauder,1
Benedikt Jaeger,1
Johannes Zirngibl,1
Georg Carle,1
Chuanming Zong,1
Elena R. Henderson,1
Jessie M. Henderson,1
William V. Oxford,1
Mitchell A. Thornton,1
Pratyush Pare,1
Devansh Gupta,1
Ashok Kumar Das,1
Neralla Manikanta,1
Kai Wang,1
Dejun Xu,1
Jing Tian,1
Luxing Yang,1
Mahtab Mirmohseni,1
Aydin Abadi,1
Yvo Desmedt,1
Emils Bagirovs,1
Grigory Provodin,1
Tuomo Sipola,1
Jari Hautamäki,1
Matthew John Cossins,1
Sendy Phang,1
Mandar Datar,1
Dhruva S. Hegde,1
Vendra Durga Prasad,1
Manish Prajapati,1
Evangelos Kosmatos,1
Nicholas Frendo,1
Mohammad Jabed Morshed Chowdhury,1
Kevin Verhaeghe,1
Abdullah Al Shafin,1
Ziyu Ye,1
Filip Rozpędek,1
Tian Zhong,1
Uttam Kumar Ojha,1
Mansi Goyal,1
Bupendra Singh,1
Aditi Kar Gangopadhyay,1
Jamie J. Pont,1
Joseph J. Kearney,1
Jack Moyler,1
Carlos A. Perez-Delgado,1
Marco Tesoro,1
Ilaria Siloi,1
Daniel Jaschke,1
Giuseppe Magnifico,1
Simone Montangero,1
S. M. Yousuf Iqbal Tomal,1
Sebastian Ramacher,1
George Giapitzakis,1
Christoph Striecks,1
Valentina Astore,1
Martino Borello,1
Flavio Salizzoni,1
Abdullah Al Mamun,1
Akid Abrar,1
Hiandra Tomasi,1
Syed W. Shah. Lei Pan,1
Din Duc Nha Nguyen,1
Robin Doss,1
Abraham Itzhak Weinberg,1
Pythagoras Petratos,1
Alessio Faccia,1
Alessandro Chiesa,1
Marcel Dall Agnol,1
Zijing Di,1
Ziyi Guan,1
Nicholas Spooner,1
Joao F. Doriguello,1
Aditya Morolia,1
Daniel Bonanno,1
Shreya Gangopadhyay,1
Jakapan Suaboot,1
Warodom Werapun,1
Supriya Adhikary,1
Nai-Hui Chia,1
Jiahui Liu,1
Ben Dong,1
Qian Wang,1
Pingzhi Li,1
Tianlong Chen,1
Nicholas J. Daras,1
Zebo Yang,1
Haneen Alfauri,1
Behrooz Farkiani,1
Raj Jain,1
Roberto Di Pietro,1
Aiman Erbad,1
Noel Farrugia,1
Norrathep Rattanavipanon,1
Attila A Yavuz,1
Ainaz Jamshidi,1
Carlos Vela Cabello,1
Khushdeep Kaur,1
Aryya Gangopadhyay,1
Lei Zhang,1
Gretchen L Matthews,1
Emily McMillon,1
Saachi Mutreja,1
Mark Zhandry,1
Eyal Z. Goren,1
Jonathan R. Love,1
Iván Blanco Chacón,1
Raúl Durán Díaz,1
Rodrigo Martín Sánchez-Ledesma,1
Pierre-Augustin Berthet,1
Anna-Lena Horlemann,1
Karan Khathuria,1
Marc Newman,1
Amin Sakzad,1
Donald Matthews,1
